Date,"Peso (kg)","Masa grasa (kg)","Bone mass (kg)","Muscle mass (kg)","Hidratación (kg)",Comentarios
"2022-01-04 23:51:39",83.90,11.05,,,,
"2022-01-04 10:46:43",83.85,13.48,,,,
"2022-01-03 08:59:31",84.30,12.49,,,,
"2022-01-02 10:11:43",84.15,13.01,,,,
"2022-01-01 13:01:01",84.75,13.74,,,,
"2021-12-31 17:26:13",84.30,11.46,,,,
"2021-12-30 07:42:48",85.10,13.41,,,,
"2021-12-29 10:00:21",84.65,12.09,,,,
"2021-12-28 17:29:25",84.60,,,,,
"2021-12-28 17:29:05",84.65,10.92,,,,
"2021-12-28 10:11:32",85.45,13.75,,,,
"2021-12-27 22:04:57",86.25,11.43,,,,
"2021-12-26 15:10:15",85.85,11.40,,,,
"2021-12-24 20:14:06",85.75,12.04,,,,
"2021-12-24 09:23:24",85.60,15.17,,,,
"2021-12-23 23:53:04",85.65,11.04,,,,
"2021-12-21 17:48:40",86.10,13.52,,,,
"2021-12-18 12:24:51",86.00,12.19,,,,
"2021-12-16 11:16:07",86.25,,,,,
"2021-12-15 10:07:01",86.15,14.57,,,,
"2021-12-10 15:36:24",85.60,12.65,,,,
"2021-12-09 08:25:21",85.70,14.60,,,,
"2021-12-08 23:38:07",85.65,11.98,,,,
"2021-12-07 23:33:30",86.15,12.21,,,,
"2021-12-07 09:43:17",86.20,13.71,,,,
"2021-12-06 14:27:54",86.35,12.20,,,,
"2021-12-03 12:57:57",86.90,13.49,,,,
"2021-12-01 08:02:22",86.65,16.19,,,,
"2021-11-30 09:49:58",86.90,14.60,,,,
"2021-11-30 08:53:39",86.85,16.00,,,,
"2021-11-27 09:49:02",87.35,15.22,,,,
"2021-11-25 08:06:35",86.80,16.04,,,,
"2021-11-25 08:06:19",86.85,16.52,,,,
"2021-11-24 09:51:23",86.95,16.72,,,,
"2021-11-23 17:00:45",87.15,13.39,,,,
"2021-11-23 17:00:30",87.20,13.68,,,,
"2021-11-23 08:10:20",87.65,16.88,,,,
"2021-11-22 08:32:03",87.90,16.39,,,,
"2021-11-20 11:48:01",88.40,14.42,,,,
"2021-11-20 11:47:40",88.40,14.08,,,,
"2021-11-19 14:57:13",89.40,14.15,,,,
"2021-11-17 11:49:04",89.25,11.70,,,,
"2021-11-16 08:33:51",89.40,16.45,,,,
"2021-11-15 18:06:32",89.20,11.25,,,,
"2021-11-14 10:43:09",89.45,14.67,,,,
"2021-11-14 08:27:09",89.60,16.44,,,,
"2021-11-12 09:20:50",90.00,14.38,,,,
"2021-11-10 19:47:36",89.45,13.90,,,,
"2021-11-09 09:08:54",89.95,15.40,,,,
"2021-11-08 09:33:05",90.10,14.93,,,,
"2021-11-04 08:37:36",88.95,,,,,
"2021-11-04 07:56:26",89.00,16.94,,,,
"2021-11-03 13:18:44",89.60,14.90,,,,
"2021-11-02 08:17:46",89.85,16.75,,,,
"2021-11-01 08:32:43",90.00,16.43,,,,
"2021-10-31 19:41:13",90.65,14.20,,,,
"2021-10-31 09:34:43",90.95,16.70,,,,
"2021-10-29 16:45:09",90.00,14.09,,,,
"2021-10-28 15:26:17",90.40,14.98,,,,
"2021-10-23 11:00:24",90.65,15.71,,,,
"2021-10-23 09:49:31",91.00,17.68,,,,
"2021-10-22 13:55:13",91.00,15.72,,,,
"2021-10-21 10:46:56",91.15,16.40,,,,
"2021-10-20 15:02:39",91.75,14.14,,,,
"2021-10-20 14:58:49",91.80,13.94,,,,
"2021-10-16 11:00:38",92.50,15.87,,,,
"2021-10-12 11:20:13",93.05,14.54,,,,
"2021-10-12 10:45:05",93.35,16.80,,,,
